
폭염일수
지점/지역명 : 제주

평균 폭염일수
연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0,0,1.5,2.3,0.1,0,0,0,3.9
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.0,0.0,0.0,0.0,2.0,13
2008,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.8,0.0,0.0,0.0,0.0,2.3,11
2009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,0.0,0.0,0.0,2.5,10
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.3,0.0,0.0,0.0,3.8,7
2011,0.0,0.0,0.0,0.0,0.0,0.3,1.5,1.8,0.0,0.0,0.0,0.0,3.5,8
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.3,0.0,0.0,0.0,0.0,3.0,9
2013,0.0,0.0,0.0,0.0,0.0,0.0,3.3,10.0,0.3,0.0,0.0,0.0,13.5,1
2014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15
2015,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,0.0,0.0,0.0,0.0,2.0,12
2016,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.3,0.0,0.0,0.0,8.3,4
2017,0.0,0.0,0.0,0.0,0.0,0.0,5.8,6.0,0.0,0.0,0.0,0.0,11.8,2
2018,0.0,0.0,0.0,0.0,0.0,0.0,2.8,6.3,0.0,0.0,0.0,0.0,9.0,3
2019,0.0,0.0,0.0,0.0,0.3,0.0,0.3,1.0,0.0,0.0,0.0,0.0,1.5,14
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.3,0.0,0.0,0.0,0.0,3.8,6
2021,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.8,0.3,0.0,0.0,0.0,3.8,5
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16


가장 긴 폭염
연도,지점,시작일,종료일,지속일수
2007,제주,2007-08-07,2007-08-08,2
2008,서귀포,2008-07-30,2008-07-31,2
2009,제주,2009-07-17,2009-07-18,2
2010,제주,2010-08-04,2010-08-08,5
2011,제주,2011-07-26,2011-07-28,3
2012,고산,2012-08-05,2012-08-06,2
2013,서귀포,2013-08-12,2013-08-22,11
2014,제주,2014-07-30,2014-07-31,2
2015,제주,2015-08-06,2015-08-07,2
2016,제주,2016-08-11,2016-08-17,7
2017,고산,2017-07-31,2017-08-05,6
2018,제주,2018-08-12,2018-08-15,4
2019,제주,2019-08-07,2019-08-09,3
2020,제주,2020-08-11,2020-08-15,5
2021,제주,2021-08-27,2021-08-29,3
2022,,,,


가장 빠른/가장 늦은 폭염
연도,가장 빠른 지점,가장 빠른 날짜,가장 늦은 지점,가장 늦은 날짜
2007,제주,2007-07-19,서귀포,2007-08-27
2008,제주,2008-07-19,서귀포,2008-08-13
2009,제주,2009-07-14,제주,2009-08-27
2010,제주,2010-08-02,제주,2010-09-21
2011,제주,2011-06-24,제주,2011-08-17
2012,제주,2012-07-30,제주,2012-08-25
2013,제주,2013-07-02,서귀포,2013-09-15
2014,서귀포,2014-07-10,제주,2014-07-31
2015,고산,2015-07-10,제주,2015-08-07
2016,제주,2016-07-04,제주,2016-09-01
2017,제주,2017-07-02,제주,2017-08-28
2018,제주,2018-07-10,제주,2018-08-31
2019,제주,2019-05-24,제주,2019-08-12
2020,제주,2020-07-19,제주,2020-08-25
2021,제주,2021-07-11,제주,2021-09-01
2022,,,,


